Title ,Genre ,Rating ,Year 
Inception,Sci Fi,8.8,2010
The Dark Knight ,Action,9,2008
Frozen,Animation,7.5,2013
Titanic ,Romance,7.8,1997
The God Father ,Crime,9.2,1972
Avengers,Action,8.4,2019
Spirited Away,Animation,8.6,2001
Parasite,Thriller,8.6,2019
The Notebook ,Romance,7.9,2004
Get Out ,Horror,7.9,2017
